Label,GeneFamilyCounts/DC10_R1T6_1,GeneFamilyCounts/DC10_R2T6_1,GeneFamilyCounts/DC10_R3T6_1,GeneFamilyCounts/DC12_R1T6_1,GeneFamilyCounts/DC12_R1T6_2,GeneFamilyCounts/DC12_R2T6_1,GeneFamilyCounts/DC12_R2T6_2,GeneFamilyCounts/DC12_R3T6_1,GeneFamilyCounts/DC12_R3T6_2,GeneFamilyCounts/DC13_R1T6_1,GeneFamilyCounts/DC13_R1T6_3,GeneFamilyCounts/DC13_R2T6_1,GeneFamilyCounts/DC13_R2T6_3,GeneFamilyCounts/DC13_R3T6_1,GeneFamilyCounts/DC13_R3T6_3,GeneFamilyCounts/DC14_R1T6_1,GeneFamilyCounts/DC14_R1T6_4,GeneFamilyCounts/DC14_R2T6_1,GeneFamilyCounts/DC14_R2T6_4,GeneFamilyCounts/DC14_R3T6_1,GeneFamilyCounts/DC14_R3T6_4,GeneFamilyCounts/DC15_R1T6_1,GeneFamilyCounts/DC15_R1T6_5,GeneFamilyCounts/DC15_R2T6_1,GeneFamilyCounts/DC15_R2T6_5,GeneFamilyCounts/DC15_R3T6_1,GeneFamilyCounts/DC15_R3T6_5,GeneFamilyCounts/DC16_R1T6_1,GeneFamilyCounts/DC16_R1T6_6,GeneFamilyCounts/DC16_R2T6_1,GeneFamilyCounts/DC16_R2T6_6,GeneFamilyCounts/DC16_R3T6_1,GeneFamilyCounts/DC16_R3T6_6,GeneFamilyCounts/DC17_R1T6_1,GeneFamilyCounts/DC17_R1T6_7,GeneFamilyCounts/DC17_R2T6_1,GeneFamilyCounts/DC17_R2T6_7,GeneFamilyCounts/DC17_R3T6_1,GeneFamilyCounts/DC17_R3T6_7,GeneFamilyCounts/DC18_R1T6_1,GeneFamilyCounts/DC18_R1T6_8,GeneFamilyCounts/DC18_R2T6_1,GeneFamilyCounts/DC18_R2T6_8,GeneFamilyCounts/DC18_R3T6_1,GeneFamilyCounts/DC18_R3T6_8,GeneFamilyCounts/DC20_R1T6_2,GeneFamilyCounts/DC20_R2T6_2,GeneFamilyCounts/DC20_R3T6_2,GeneFamilyCounts/DC23_R1T6_2,GeneFamilyCounts/DC23_R1T6_3,GeneFamilyCounts/DC23_R2T6_2,GeneFamilyCounts/DC23_R2T6_3,GeneFamilyCounts/DC23_R3T6_2,GeneFamilyCounts/DC23_R3T6_3,GeneFamilyCounts/DC24_R1T6_2,GeneFamilyCounts/DC24_R1T6_4,GeneFamilyCounts/DC24_R2T6_2,GeneFamilyCounts/DC24_R2T6_4,GeneFamilyCounts/DC24_R3T6_2,GeneFamilyCounts/DC24_R3T6_4,GeneFamilyCounts/DC25_R1T6_2,GeneFamilyCounts/DC25_R1T6_5,GeneFamilyCounts/DC25_R2T6_2,GeneFamilyCounts/DC25_R2T6_5,GeneFamilyCounts/DC25_R3T6_2,GeneFamilyCounts/DC25_R3T6_5,GeneFamilyCounts/DC26_R1T6_2,GeneFamilyCounts/DC26_R1T6_6,GeneFamilyCounts/DC26_R2T6_2,GeneFamilyCounts/DC26_R2T6_6,GeneFamilyCounts/DC27_R1T6_2,GeneFamilyCounts/DC27_R1T6_7,GeneFamilyCounts/DC27_R2T6_2,GeneFamilyCounts/DC27_R2T6_7,GeneFamilyCounts/DC27_R3T6_2,GeneFamilyCounts/DC27_R3T6_7,GeneFamilyCounts/DC28_R1T6_2,GeneFamilyCounts/DC28_R1T6_8,GeneFamilyCounts/DC28_R2T6_2,GeneFamilyCounts/DC28_R2T6_8,GeneFamilyCounts/DC30_R1T6_3,GeneFamilyCounts/DC30_R2T6_3,GeneFamilyCounts/DC30_R3T6_3,GeneFamilyCounts/DC34_R1T6_3,GeneFamilyCounts/DC34_R1T6_4,GeneFamilyCounts/DC34_R2T6_3,GeneFamilyCounts/DC34_R2T6_4,GeneFamilyCounts/DC34_R3T6_3,GeneFamilyCounts/DC34_R3T6_4,GeneFamilyCounts/DC35_R1T6_3,GeneFamilyCounts/DC35_R1T6_5,GeneFamilyCounts/DC35_R2T6_3,GeneFamilyCounts/DC35_R2T6_5,GeneFamilyCounts/DC35_R3T6_3,GeneFamilyCounts/DC35_R3T6_5,GeneFamilyCounts/DC36_R1T6_3,GeneFamilyCounts/DC36_R1T6_6,GeneFamilyCounts/DC36_R2T6_3,GeneFamilyCounts/DC36_R2T6_6,GeneFamilyCounts/DC36_R3T6_3,GeneFamilyCounts/DC36_R3T6_6,GeneFamilyCounts/DC37_R1T6_3,GeneFamilyCounts/DC37_R1T6_7,GeneFamilyCounts/DC37_R2T6_3,GeneFamilyCounts/DC37_R2T6_7,GeneFamilyCounts/DC37_R3T6_3,GeneFamilyCounts/DC37_R3T6_7,GeneFamilyCounts/DC38_R1T6_3,GeneFamilyCounts/DC38_R1T6_8,GeneFamilyCounts/DC38_R2T6_3,GeneFamilyCounts/DC38_R2T6_8,GeneFamilyCounts/DC38_R3T6_3,GeneFamilyCounts/DC38_R3T6_8,GeneFamilyCounts/DC40_R1T6_4,GeneFamilyCounts/DC40_R2T6_4,GeneFamilyCounts/DC40_R3T6_4,GeneFamilyCounts/DC45_R1T6_4,GeneFamilyCounts/DC45_R1T6_5,GeneFamilyCounts/DC45_R2T6_4,GeneFamilyCounts/DC45_R2T6_5,GeneFamilyCounts/DC45_R3T6_4,GeneFamilyCounts/DC45_R3T6_5,GeneFamilyCounts/DC46_R1T6_4,GeneFamilyCounts/DC46_R1T6_6,GeneFamilyCounts/DC46_R2T6_4,GeneFamilyCounts/DC46_R2T6_6,GeneFamilyCounts/DC46_R3T6_4,GeneFamilyCounts/DC46_R3T6_6,GeneFamilyCounts/DC47_R1T6_4,GeneFamilyCounts/DC47_R1T6_7,GeneFamilyCounts/DC47_R2T6_4,GeneFamilyCounts/DC47_R2T6_7,GeneFamilyCounts/DC47_R3T6_4,GeneFamilyCounts/DC47_R3T6_7,GeneFamilyCounts/DC48_R1T6_4,GeneFamilyCounts/DC48_R1T6_8,GeneFamilyCounts/DC48_R2T6_4,GeneFamilyCounts/DC48_R2T6_8,GeneFamilyCounts/DC48_R3T6_4,GeneFamilyCounts/DC48_R3T6_8,GeneFamilyCounts/DC50_R1TWB_5,GeneFamilyCounts/DC50_R2TWB_5,GeneFamilyCounts/DC50_R3TWB_5,GeneFamilyCounts/DC56_R1T6_5,GeneFamilyCounts/DC56_R1T6_6,GeneFamilyCounts/DC56_R2T6_5,GeneFamilyCounts/DC56_R2T6_6,GeneFamilyCounts/DC56_R3T6_5,GeneFamilyCounts/DC56_R3T6_6,GeneFamilyCounts/DC57_R1TWB_5,GeneFamilyCounts/DC57_R1TWB_7,GeneFamilyCounts/DC57_R2TWB_5,GeneFamilyCounts/DC57_R2TWB_7,GeneFamilyCounts/DC57_R3TWB_5,GeneFamilyCounts/DC57_R3TWB_7,GeneFamilyCounts/DC58_R1T6_5,GeneFamilyCounts/DC58_R1T6_8,GeneFamilyCounts/DC58_R2T6_5,GeneFamilyCounts/DC58_R2T6_8,GeneFamilyCounts/DC58_R3T6_5,GeneFamilyCounts/DC58_R3T6_8,GeneFamilyCounts/DC60_R1T6_6,GeneFamilyCounts/DC60_R2T6_6,GeneFamilyCounts/DC60_R3T6_6,GeneFamilyCounts/DC67_R1T6_6,GeneFamilyCounts/DC67_R1T6_7,GeneFamilyCounts/DC67_R2T6_6,GeneFamilyCounts/DC67_R2T6_7,GeneFamilyCounts/DC67_R3T6_6,GeneFamilyCounts/DC67_R3T6_7,GeneFamilyCounts/DC68_R1T6_6,GeneFamilyCounts/DC68_R1T6_8,GeneFamilyCounts/DC68_R2T6_6,GeneFamilyCounts/DC68_R2T6_8,GeneFamilyCounts/DC68_R3T6_6,GeneFamilyCounts/DC68_R3T6_8,GeneFamilyCounts/DC70_R1TWB_7,GeneFamilyCounts/DC70_R2T6_7,GeneFamilyCounts/DC70_R3TWB_7,GeneFamilyCounts/DC78_R1T6_7,GeneFamilyCounts/DC78_R1T6_8,GeneFamilyCounts/DC78_R2T6_7,GeneFamilyCounts/DC78_R2T6_8,GeneFamilyCounts/DC78_R3T6_7,GeneFamilyCounts/DC78_R3T6_8,GeneFamilyCounts/DN82_R3TX_8,GeneFamilyCounts/DN86_R1TX_8
PTHR11649,372.62,312.61,324.91,235.44,100.28,248.7,100.96,307.9,54.93,200.33,167.9,260.97,112.78,229.72,208.55,304.44,16.26,277.42,5.45,143.47,0.0,277.2,158.57,296.6,171.07,173.29,155.43,218.72,173.97,251.58,86.59,220.45,190.56,281.56,43.24,259.15,119.15,296.67,119.44,215.89,2.69,212.49,1.99,175.28,7.18,109.48,87.57,8.83,111.4,98.85,113.92,114.2,135.44,66.34,122.85,0.39,111.29,0.81,129.49,16.96,31.93,206.34,23.46,189.88,39.97,224.24,134.02,249.85,71.8,281.2,77.72,116.47,104.77,34.58,20.24,287.25,115.92,98.96,91.35,83.95,291.81,347.68,325.92,323.99,56.45,335.83,1.64,177.83,1.46,22.13,292.71,9.33,291.91,8.29,306.51,155.57,4.25,148.82,0.0,127.2,0.0,340.74,2.0,332.12,3.15,378.09,4.69,308.31,61.36,381.58,72.67,205.84,4.51,151.76,144.05,94.1,0.0,259.3,0.3,301.67,0.0,260.04,177.52,134.6,122.89,205.34,88.19,286.74,54.5,290.03,47.66,244.64,91.66,273.44,27.19,116.78,0.33,149.89,0.0,139.37,241.97,252.79,244.44,290.39,0.4,291.18,0.51,311.78,0.0,295.35,57.26,234.24,152.23,245.72,60.47,238.81,31.51,303.44,19.67,210.32,9.33,268.71,257.07,272.74,287.95,205.9,293.78,220.79,303.61,224.18,217.85,129.16,217.05,110.25,185.29,114.42,378.88,294.98,373.43,329.69,94.57,413.58,68.42,319.51,95.07,195.5,171.3
PTHR31089,11.3,11.8,10.88,11.84,10.97,11.32,9.1,10.27,4.22,12.23,49.36,13.78,31.39,13.34,55.9,9.93,1.04,9.54,0.24,6.78,0.0,8.13,4.37,9.08,4.27,8.79,5.68,11.76,8.65,10.42,2.69,15.04,9.08,8.59,9.91,10.61,11.56,11.39,12.69,6.3,0.3,6.46,0.0,8.32,0.28,12.77,8.73,1.74,11.06,20.84,9.34,26.97,7.01,7.0,10.09,0.06,7.99,0.0,9.97,1.61,3.25,2.24,4.8,1.63,5.24,3.42,5.74,7.68,3.73,11.41,9.75,14.51,11.44,5.75,0.0,12.01,11.39,5.86,8.1,4.18,52.11,103.56,96.06,37.83,8.65,66.32,0.32,30.73,0.28,3.59,5.25,1.98,5.12,3.1,5.38,30.35,0.0,21.54,0.0,28.65,0.0,34.89,0.0,41.82,0.0,52.37,0.0,26.11,4.75,46.69,3.84,19.01,0.34,22.71,16.69,15.14,0.0,5.87,0.0,5.28,0.0,6.78,12.93,0.0,9.3,7.69,4.88,11.74,6.81,32.37,7.44,26.41,9.75,30.23,2.91,12.62,0.0,11.6,0.0,11.84,7.53,7.26,6.98,4.55,0.0,5.35,0.0,5.07,0.0,6.94,4.66,6.91,20.78,5.85,4.35,4.9,3.08,5.5,1.36,5.58,1.08,16.98,16.15,14.83,20.12,16.12,14.26,12.15,16.89,20.52,15.1,9.46,11.46,7.36,11.84,7.65,1.12,25.93,0.92,7.76,5.92,8.96,0.0,11.78,4.65,10.99,8.07
PTHR31085,40.12,44.94,44.85,47.19,60.99,50.77,61.62,55.68,31.54,41.59,82.42,43.1,51.36,36.6,108.51,44.37,2.06,46.2,0.0,65.67,0.0,25.77,30.5,25.87,31.47,45.95,25.02,43.15,73.23,48.58,64.1,42.32,68.52,51.7,66.41,28.59,101.3,33.3,111.39,64.94,1.02,65.17,0.49,59.28,2.3,67.93,41.19,3.58,75.33,82.85,84.92,102.13,56.14,41.03,44.84,0.0,39.93,0.0,66.54,1.84,18.21,43.09,18.46,47.23,19.3,50.34,29.12,65.95,38.93,108.57,50.21,127.52,61.38,44.89,0.0,303.73,96.93,25.17,48.39,30.55,149.09,161.47,189.2,102.93,3.39,124.08,0.0,72.14,0.0,23.15,36.73,8.72,35.82,12.9,34.25,80.56,0.0,62.35,2.44,98.87,0.0,161.78,3.38,143.14,1.28,137.57,5.32,103.73,17.71,151.92,26.66,74.34,0.46,7.62,4.88,0.77,0.0,44.72,0.0,48.99,0.0,32.51,8.91,41.14,4.19,76.75,2.21,98.81,3.47,234.33,1.95,182.15,6.94,183.83,0.99,26.02,0.0,29.05,0.0,24.75,43.33,38.54,44.29,28.95,0.33,37.05,0.0,34.78,0.53,45.29,21.43,41.38,90.53,41.8,22.28,34.05,10.14,35.53,8.71,40.83,8.79,70.29,88.07,87.59,80.56,296.19,96.92,243.41,85.67,301.49,67.0,31.14,66.6,19.87,83.23,33.5,247.97,299.86,232.36,389.44,22.18,443.55,7.91,338.67,29.76,30.43,31.17
PTHR11647,41.97,47.22,43.71,50.08,33.54,27.56,28.36,46.12,12.28,52.02,37.85,52.74,23.65,56.15,50.44,46.8,0.75,48.42,0.85,44.36,0.12,26.75,14.04,24.42,16.97,25.05,14.35,53.41,22.91,37.8,17.43,53.58,20.51,46.8,28.72,38.38,30.37,38.75,40.74,34.16,0.58,31.79,0.06,36.39,1.67,44.41,30.57,44.41,37.93,15.01,43.55,33.66,41.68,18.84,40.22,0.0,55.7,0.0,45.71,0.46,18.22,66.98,15.33,67.2,16.37,73.21,59.9,18.19,27.42,27.59,25.82,47.45,34.19,12.72,13.59,131.6,43.26,18.32,29.31,46.39,113.07,76.87,75.16,62.07,6.93,65.01,0.54,54.06,0.0,9.53,25.82,4.21,17.93,2.38,19.21,22.59,0.0,32.65,0.0,24.55,0.0,69.04,0.0,65.19,0.98,60.06,2.43,95.52,9.22,59.4,21.74,53.23,1.52,18.86,12.79,11.13,0.0,27.17,0.0,30.21,0.0,22.02,20.19,12.12,12.03,23.49,13.71,27.76,8.16,122.68,5.84,128.64,9.75,153.88,3.09,17.37,0.0,26.26,0.0,17.62,28.69,30.29,30.66,26.04,0.0,22.99,0.0,26.95,0.0,32.11,2.47,33.14,8.37,34.14,2.15,37.27,15.96,40.04,10.14,55.35,5.11,23.35,24.67,25.03,30.9,122.19,34.05,118.72,30.67,135.16,22.43,25.64,20.19,21.74,29.79,26.38,144.94,132.31,159.11,175.3,18.33,126.43,28.3,137.73,18.52,32.57,29.15
PTHR11645,21.12,21.16,20.17,21.1,56.04,14.36,60.06,19.82,39.0,19.78,156.0,25.08,91.79,27.72,204.26,12.22,1.39,15.3,2.89,12.23,0.58,13.05,26.11,14.02,24.83,12.3,58.4,19.39,38.03,18.93,19.92,16.76,43.61,17.96,16.76,19.74,27.36,19.43,28.08,8.79,1.61,8.88,0.44,7.23,1.41,77.37,65.63,0.62,68.93,119.08,54.72,114.69,80.07,99.9,74.59,0.0,56.02,0.07,74.31,1.63,17.8,36.34,14.1,30.27,19.27,38.37,67.13,66.8,41.83,43.11,52.86,22.9,50.95,7.03,0.0,122.62,60.44,34.83,50.27,36.57,261.07,272.17,262.0,141.75,19.06,225.71,0.0,138.9,0.31,32.26,51.2,13.56,49.92,10.37,45.06,100.78,0.0,100.15,0.0,94.8,0.0,235.41,0.0,226.94,0.0,221.6,1.69,261.95,18.15,283.66,21.28,185.52,5.07,31.25,35.83,27.43,0.0,69.92,0.0,62.03,0.0,40.92,39.49,15.93,28.78,43.64,11.84,42.2,9.87,114.35,10.44,153.44,18.41,143.13,3.05,38.64,0.0,60.62,0.0,48.55,57.86,55.29,55.5,53.8,0.0,55.14,0.0,61.45,0.0,56.45,2.9,49.07,13.89,59.55,2.91,76.23,12.86,90.16,13.77,46.87,7.02,51.25,56.02,53.58,44.98,145.11,45.28,118.31,47.81,142.67,33.12,37.27,32.27,28.73,38.7,34.93,165.08,102.73,181.98,147.8,25.89,154.18,20.05,133.07,24.74,59.31,51.47
PTHR12560,155.22,165.8,152.92,167.73,71.24,167.92,64.18,199.97,42.77,139.72,8.23,166.93,10.91,136.62,12.75,142.72,6.8,129.98,1.18,136.75,0.0,93.4,88.04,87.14,93.92,165.41,69.72,130.72,67.08,174.37,41.79,99.94,52.62,147.74,2.25,91.49,7.42,97.88,6.52,152.77,2.1,125.44,0.08,147.95,4.2,94.25,92.88,1.02,66.9,7.93,70.72,14.39,78.28,3.83,78.06,0.83,60.5,0.0,84.76,8.81,22.19,88.95,18.7,90.15,23.03,102.0,69.46,61.06,46.09,86.67,67.34,9.54,54.74,2.61,0.0,5.15,59.62,47.71,92.57,60.01,13.93,22.08,19.42,19.96,62.31,16.77,0.0,21.16,0.47,3.03,154.79,0.81,129.61,0.0,167.85,14.46,0.0,13.12,0.0,13.1,0.0,25.37,0.0,18.95,0.0,18.86,1.32,14.5,23.95,16.29,29.46,9.07,4.81,150.59,130.35,102.34,0.09,161.54,0.0,132.4,0.0,161.28,172.02,49.9,122.58,49.77,40.27,77.75,43.22,12.29,48.13,10.87,65.15,11.13,16.53,53.17,0.0,64.29,0.0,52.66,145.94,137.66,164.81,160.55,0.25,151.78,1.37,156.84,0.0,140.05,2.08,155.64,2.72,162.39,0.71,122.33,16.29,117.78,14.78,136.41,11.7,76.1,68.67,75.73,86.31,21.47,101.74,25.88,93.39,21.92,101.73,67.5,80.83,51.04,98.06,62.93,25.39,5.72,24.04,21.73,39.62,25.52,41.44,29.9,40.46,84.82,69.91
PTHR22780,50.06,59.24,58.8,71.49,74.77,67.24,75.25,78.97,58.17,66.65,59.16,57.3,41.66,51.89,75.88,67.67,13.58,73.14,6.06,66.79,1.17,39.13,32.91,43.06,33.68,55.41,42.52,66.98,39.7,64.13,30.76,68.97,47.68,81.92,21.86,35.18,59.44,38.63,48.64,63.28,1.72,45.41,0.97,63.54,2.0,68.69,57.89,6.1,60.84,55.34,67.15,64.94,88.08,44.76,61.5,1.03,63.04,0.51,71.91,6.05,27.39,40.24,21.02,41.75,31.26,47.75,79.0,40.7,34.41,62.46,64.9,49.77,60.09,19.81,0.61,81.04,62.34,34.66,57.97,55.64,69.66,112.29,112.26,54.94,14.17,93.95,1.3,87.24,0.22,21.35,45.25,8.11,41.71,8.63,45.11,58.45,0.0,55.99,0.0,54.52,0.0,111.04,7.6,101.55,3.73,100.03,4.88,50.59,28.54,109.48,48.84,34.55,4.39,53.98,34.71,20.61,0.2,54.0,0.6,51.38,0.24,51.72,57.13,22.47,32.18,43.87,28.33,47.84,24.35,121.65,23.38,97.41,28.0,87.06,7.99,34.86,0.0,49.86,0.0,41.44,61.0,61.37,65.09,38.32,0.15,46.19,0.19,42.93,0.0,61.84,24.68,55.79,75.26,49.15,21.98,34.58,20.61,45.28,20.31,42.67,7.14,47.5,51.41,50.5,53.64,129.92,54.13,157.35,51.58,133.1,60.69,41.25,51.96,41.73,53.7,47.47,127.46,83.19,96.77,125.85,32.08,169.73,48.2,175.54,23.8,43.88,40.22
PTHR11761,2573.74,2479.3,2382.12,2378.67,2516.43,2280.46,2108.06,2226.34,4185.25,3441.61,2531.01,2939.14,3370.19,3766.08,1785.91,3087.9,893.62,2953.17,581.95,2997.58,181.41,2320.47,3246.07,2353.94,3905.72,2686.83,2297.92,2764.81,1720.75,2268.87,1129.15,2897.7,2053.24,2612.31,152.12,2618.88,247.5,2704.45,318.83,3584.39,123.01,4219.02,120.52,3590.3,183.32,1841.41,2388.52,62.06,2177.6,2197.44,2218.34,1532.57,2365.17,3249.29,3070.63,173.79,2236.18,125.93,2251.81,967.42,1112.99,4487.22,1053.13,4120.41,1257.51,4621.36,2345.93,2958.38,1627.39,1645.18,1972.16,135.27,2235.86,25.1,56.7,3400.34,1590.89,1021.42,2955.4,828.82,1547.32,443.13,381.68,282.48,7050.64,403.85,144.07,292.82,104.85,810.24,4634.16,1054.39,5213.53,880.85,4713.74,343.15,36.94,372.43,38.43,382.12,34.81,624.85,709.5,746.35,972.48,683.95,725.16,677.28,670.27,619.66,837.18,445.93,150.22,8598.4,9950.47,5378.57,56.54,3652.52,75.74,3736.87,76.03,4140.2,7858.83,13188.1,12067.6,5039.98,4453.31,1892.24,1686.15,1455.86,2500.29,1306.51,3324.28,1154.52,2476.61,1323.81,45.59,1590.55,0.0,1430.15,3801.53,4265.78,3597.78,5567.72,936.14,4885.08,825.57,5449.65,1067.7,4560.83,34.17,5226.0,197.39,5038.72,64.54,3776.93,2855.45,3913.18,3351.73,4251.96,3966.57,1790.49,1994.62,2353.13,2804.55,441.35,2869.27,362.99,2680.21,406.35,1878.08,1240.12,2231.9,891.19,1648.78,1013.57,2037.67,1780.28,1898.49,1436.34,911.78,2341.51,583.77,598.83,745.46,1421.89,1540.78
PTHR11766,75.42,64.61,65.81,31.53,4.5,33.89,6.07,39.83,6.61,50.54,60.11,65.86,31.88,62.31,84.28,37.26,2.25,34.92,0.51,13.32,0.0,64.46,19.58,63.35,19.74,35.31,14.95,42.68,10.7,49.29,4.92,40.03,15.03,28.72,1.63,75.33,11.02,81.67,9.55,13.24,0.37,17.5,0.0,12.88,0.58,3.94,2.35,2.62,9.61,23.19,4.16,37.67,9.14,10.34,8.52,0.13,7.15,0.0,9.88,1.62,2.46,30.1,1.75,35.57,2.73,36.02,39.25,16.52,5.8,20.77,4.57,4.0,4.46,1.5,0.0,45.4,7.61,7.19,3.87,8.21,75.48,91.63,84.09,53.82,2.96,77.85,0.0,60.63,0.0,9.15,39.34,2.76,42.74,3.12,43.62,34.54,0.0,33.3,1.59,27.02,1.63,59.77,0.0,61.26,1.1,60.57,0.88,88.14,5.82,74.69,5.49,48.32,0.28,7.97,6.69,2.92,0.34,39.06,0.34,50.39,0.4,42.7,10.53,13.13,6.77,22.5,6.72,24.21,1.51,29.71,2.12,18.32,3.39,15.7,1.74,6.6,0.0,11.4,0.0,6.36,46.68,48.34,46.16,50.29,0.51,45.72,0.33,48.74,0.31,39.23,3.56,33.78,13.9,34.55,4.33,54.1,5.05,51.32,3.89,40.68,3.54,16.92,16.49,18.39,34.04,22.41,36.96,15.94,38.27,25.99,27.09,9.26,22.05,9.6,28.65,11.93,62.02,18.48,56.38,33.67,5.96,64.5,10.1,31.08,8.01,25.15,19.58
PTHR11767,71.53,82.4,96.32,75.85,106.96,78.2,142.52,85.79,75.16,80.09,49.06,67.82,31.21,69.46,65.55,97.33,4.96,89.2,0.0,57.71,0.0,92.58,3.0,86.89,2.78,46.53,5.74,81.0,23.24,71.29,19.24,73.0,31.3,83.15,21.34,55.16,55.86,70.57,48.99,67.62,0.48,56.13,0.23,63.55,1.07,76.25,80.29,2.1,66.84,28.99,76.5,41.58,102.81,26.17,100.13,0.57,100.24,0.0,58.15,1.72,33.8,7.5,19.48,6.89,38.28,7.57,53.76,30.27,40.5,30.89,100.63,44.66,104.96,24.41,0.0,70.91,102.25,16.29,103.48,18.26,93.71,78.33,70.4,47.34,6.0,73.12,0.0,56.4,0.0,6.54,3.05,4.38,2.09,3.97,2.5,31.31,0.0,43.44,0.0,30.86,0.0,73.66,0.0,72.83,0.0,70.81,3.23,75.62,7.22,77.73,10.07,49.0,1.16,19.71,11.08,9.61,0.0,4.85,0.0,5.32,0.0,2.57,20.95,8.62,10.58,28.05,10.39,36.31,4.03,91.72,1.33,78.49,11.04,82.49,2.11,18.06,0.0,16.22,0.0,15.73,10.63,9.91,9.37,3.07,0.19,3.75,0.0,3.87,0.0,7.6,25.64,7.95,80.35,9.43,23.63,5.61,4.77,8.08,3.57,8.08,2.35,35.77,30.37,29.17,40.92,115.0,47.12,156.93,38.73,132.75,46.73,13.99,41.03,12.5,46.2,13.25,196.26,102.11,155.83,107.64,10.23,143.27,7.24,116.38,7.32,14.75,12.82
PTHR12097,146.53,184.41,201.57,178.6,71.44,198.64,56.26,194.87,152.75,171.83,17.98,185.45,10.18,151.56,19.55,215.28,82.51,206.29,96.81,124.6,24.51,157.62,33.49,166.9,33.34,159.19,28.58,178.1,56.94,245.07,45.94,174.03,59.27,200.53,36.34,108.73,36.68,133.95,41.05,113.91,11.43,76.36,8.0,128.14,12.27,46.56,37.8,9.53,48.55,11.18,39.61,20.02,52.93,9.55,34.19,7.55,37.11,9.9,49.07,13.21,24.71,34.7,24.63,36.97,28.79,40.77,28.94,51.86,50.0,45.31,39.03,26.26,42.11,14.18,18.4,34.59,53.82,32.75,42.81,54.16,24.85,29.47,26.67,12.75,8.93,22.8,3.6,16.6,15.61,4.4,44.05,1.56,38.36,2.09,40.56,13.7,69.85,16.41,82.41,13.13,76.33,28.14,32.83,26.56,35.57,27.27,43.3,23.6,16.59,32.45,25.48,13.66,3.7,21.78,12.14,6.12,9.3,46.83,10.69,56.66,8.97,49.72,24.39,59.3,14.95,44.2,70.39,59.0,69.8,60.84,43.05,53.6,43.08,56.27,7.72,26.65,5.0,26.13,0.0,23.6,39.61,42.42,44.49,41.05,14.83,45.47,16.69,45.95,16.67,46.63,17.56,37.57,39.3,39.0,15.14,42.65,33.86,47.44,31.65,42.35,35.2,62.03,54.33,56.79,62.76,64.91,76.95,66.39,65.14,68.72,60.74,33.82,58.41,22.19,60.15,35.74,52.15,48.96,48.07,48.8,23.85,51.8,30.61,58.05,18.91,24.8,24.68
PTHR11880,1611.21,1553.47,1471.1,1360.11,1164.42,1243.19,1275.28,1381.73,753.36,2162.5,1640.31,1927.45,2481.56,1924.31,1045.21,2040.04,268.18,1965.79,117.3,2100.9,22.8,1492.22,669.51,1463.29,746.07,1537.61,412.18,1833.85,1180.61,1433.78,1071.17,2000.45,1283.13,1562.45,45.32,1491.62,52.81,1456.86,83.74,2278.08,102.05,2127.37,69.07,2521.86,168.75,1133.42,1480.79,21.23,1359.69,599.53,1317.0,630.41,1763.35,833.31,1906.29,22.44,1408.57,13.8,1428.49,349.71,578.01,872.02,517.28,788.23,626.35,889.41,1019.44,1825.92,988.52,1162.62,1315.39,44.13,1435.96,7.18,12.01,1072.28,1162.67,1637.84,1821.27,1728.62,1194.67,578.96,607.34,3902.31,1941.64,1419.74,51.71,3683.12,19.46,224.98,775.56,308.36,874.49,277.81,746.93,712.62,39.96,836.8,61.75,469.1,73.31,807.44,144.3,932.32,129.65,912.48,75.55,953.18,1024.65,600.53,956.94,352.74,243.21,3234.32,2741.05,2875.0,44.32,725.05,36.7,735.42,45.33,776.07,2722.48,2803.8,3789.82,1912.31,1895.15,1166.43,645.57,456.86,984.11,325.87,1267.06,390.65,755.66,1662.1,114.78,2138.48,0.0,1962.01,638.41,623.27,595.77,989.49,632.74,968.4,529.63,1016.94,539.83,650.73,8.96,757.91,36.91,711.43,10.4,847.74,1129.0,860.6,1204.69,946.15,1403.29,1196.78,1224.26,1540.47,1740.0,180.8,1766.71,154.42,1653.76,147.93,1948.36,1333.81,1488.52,1099.21,1524.08,1269.77,610.91,398.36,601.83,425.36,1199.75,484.34,974.65,162.68,1201.17,1945.77,1869.53
